"""Code"",""Continent""";
"""AFG"",""Asia""";
"""AHO"",""North America""";
"""ALB"",""Europe""";
"""ALG"",""Africa""";
"""AND"",""Europe""";
"""ANG"",""Africa""";
"""ANT"",""North America""";
"""ANZ"",""Oceania""";
"""ARG"",""South America""";
"""ARM"",""Asia""";
"""ARU"",""North America""";
"""ASA"",""Oceania""";
"""AUS"",""Oceania""";
"""AUT"",""Europe""";
"""AZE"",""Asia""";
"""BAH"",""North America""";
"""BAN"",""Asia""";
"""BAR"",""North America""";
"""BDI"",""Africa""";
"""BEL"",""Europe""";
"""BEN"",""Africa""";
"""BER"",""North America""";
"""BHU"",""Asia""";
"""BIH"",""Europe""";
"""BIZ"",""North America""";
"""BLR"",""Europe""";
"""BOH"",""Europe""";
"""BOL"",""South America""";
"""BOT"",""Africa""";
"""BRA"",""South America""";
"""BRN"",""Asia""";
"""BRU"",""Asia""";
"""BUL"",""Europe"""; 
"""BUR"",""Africa""";
"""CAF"",""Africa""";
"""CAM"",""Asia""";
"""CAN"",""North America""";
"""CAY"",""North America""";
"""CGO"",""Africa""";
"""CHA"",""Africa""";
"""CHI"",""South America""";
"""CHN"",""Asia""";
"""CIV"",""Africa""";
"""CMR"",""Africa""";
"""COD"",""Africa""";
"""COK"",""Oceania""";
"""COL"",""South America""";
"""COM"",""Africa""";
"""CPV"",""Africa""";
"""CRC"",""North America""";
"""CRO"",""Europe""";
"""CRT"",""Europe""";
"""CUB"",""North America""";
"""CYP"",""Asia""";
"""CZE"",""Europe""";
"""DEN"",""Europe""";
"""DJI"",""Africa""";
"""DMA"",""North America""";
"""DOM"",""North America""";
"""ECU"",""South America""";
"""EGY"",""Africa""";
"""ERI"",""Africa""";
"""ESA"",""North America""";
"""ESP"",""Europe""";
"""EST"",""Europe""";
"""ETH"",""Africa""";
"""EUN"",""Europe""";
"""FIJ"",""Oceania""";
"""FIN"",""Europe""";
"""FRA"",""Europe""";
"""FRG"",""Europe""";
"""FSM"",""Oceania""";
"""GAB"",""Africa""";
"""GAM"",""Africa""";
